id,relaxation_step_number,xx,yy,zz,xy,xz,yz,pressure
1,0,0.00000082,-0.00003142,-0.00003546,0.00004048,-0.00002928,0.00002967,0.00002202
2,0,0.01816602,0.01795106,0.00142008,-0.00004255,-0.00003443,0.00005586,-0.01251239
2,1,0.00518056,0.00428679,-0.00017064,-0.00008231,0.00094118,0.00003161,-0.00309890
2,2,-0.00670912,-0.00671636,0.00259778,-0.00410717,0.00173749,-0.00022247,0.00360924
2,3,-0.00263468,-0.00287200,0.00025363,-0.00313062,0.00085699,-0.00036396,0.00175102
2,4,-0.00245288,-0.00315373,0.00089276,-0.00262243,0.00081861,-0.00035868,0.00157128
2,5,0.00145511,0.00076281,0.00135736,0.00014043,0.00034311,-0.00014783,-0.00119176
2,6,0.00076367,0.00016351,0.00001217,-0.00018493,0.00025155,-0.00023187,-0.00031312
2,7,0.00008927,-0.00044972,-0.00030000,-0.00046125,0.00026250,-0.00010762,0.00022015
2,8,0.00025164,-0.00017704,-0.00011907,-0.00018381,0.00021967,-0.00013087,0.00001482
2,9,0.00041914,0.00015376,-0.00001777,-0.00002473,0.00015075,-0.00007825,-0.00018504
2,10,0.00032772,0.00004111,-0.00006092,-0.00005456,0.00010236,-0.00006889,-0.00010263
2,11,0.00013222,-0.00007180,-0.00011233,-0.00007790,0.00006503,-0.00002211,0.00001730
2,12,0.00007013,-0.00010222,-0.00009017,-0.00008761,0.00004221,-0.00002074,0.00004075
2,13,0.00007220,-0.00009057,-0.00003892,-0.00008698,0.00002050,-0.00000676,0.00001910
2,14,0.00008909,-0.00004315,-0.00000233,-0.00007086,-0.00001674,0.00000161,-0.00001454
2,15,0.00006328,-0.00003883,-0.00000337,-0.00005684,-0.00002520,0.00003238,-0.00000703
2,16,0.00004202,-0.00003324,-0.00001098,-0.00002625,-0.00003623,0.00003316,0.00000073
3,0,0.00068384,0.00073080,-0.00124164,0.00000800,0.00002065,0.00003024,-0.00005767
3,1,0.00035456,0.00047187,-0.00049845,0.00002431,0.00006922,0.00006543,-0.00010933
3,2,0.00023993,0.00031425,-0.00028908,0.00001794,0.00007346,0.00007257,-0.00008836
3,3,0.00016949,0.00012558,-0.00018507,0.00000632,0.00005533,0.00004955,-0.00003667
3,4,0.00014884,0.00003012,-0.00016836,0.00000590,0.00004648,0.00001916,-0.00000353
3,5,0.00014050,-0.00000984,-0.00016604,0.00000932,0.00004382,-0.00000267,0.00001179
3,6,0.00014350,-0.00000679,-0.00016824,0.00000839,0.00004408,-0.00000495,0.00001051
3,7,0.00013890,-0.00001452,-0.00015564,0.00001473,0.00004431,-0.00001281,0.00001042
3,8,0.00012436,-0.00001005,-0.00012868,0.00002010,0.00004562,-0.00001333,0.00000479
4,0,-0.00016284,-0.00008137,-0.00025536,-0.00001222,-0.00014727,0.00004190,0.00016652
