id,lattice_vector_1_x,lattice_vector_1_y,lattice_vector_1_z,lattice_vector_2_x,lattice_vector_2_y,lattice_vector_2_z,lattice_vector_3_x,lattice_vector_3_y,lattice_vector_3_z
1,9.94875826,-0.02398847,-0.01287733,0.02006574,8.56774383,-0.03897548,0.01427497,-0.00045446,9.17645875
2,6.19946477,0.01692255,-0.01241238,-3.11549794,5.36422547,0.01721821,0.04782695,-0.04725329,23.60604191
3,9.8494625,-0.01357235,-0.14716142,4.93262105,2.83712454,-0.07389049,-0.31016381,-0.04008216,13.95943028
4,5.00746544,-0.00436757,0.00507007,-2.50002835,4.33898507,-0.0038799,-0.01690275,0.00523653,13.56443017
5,6.64444756,0.00518205,0.00020215,-3.32329579,5.75360711,0.00189861,-0.00058884,-0.00849291,24.27604807
6,9.97440075,-0.09909438,-0.17305892,5.01575808,2.83363467,-0.08307678,-0.27933688,0.0522263,14.11635018
7,10.16635825,0.01426578,-0.01184419,0.01312855,10.16980405,-0.00153585,-0.01920128,0.02649932,10.16684537
8,11.75342785,0.10486744,0.32940666,-0.02866989,3.23543897,-0.00385016,-1.83010135,-0.00887119,6.2040961
9,9.41175597,0.05804349,-0.09053415,-0.00086923,9.43251292,-0.03281025,0.10419972,0.05740508,9.41804645
10,6.26399479,-0.01171628,-0.01220874,-3.13206302,5.42484258,0.00949855,0.04175892,-0.01229287,23.75543574
11,9.82902429,0.5338203,0.14539132,-2.67434378,4.11549932,-0.00707026,-0.20413918,-0.11100983,13.33133154
12,6.20810553,0.00679528,-0.01834449,-3.11021665,5.38096746,0.02003543,0.06934983,-0.04776809,23.63960186
13,4.92529208,-0.01665797,0.01513341,0.01725708,8.4808747,-0.00671124,0.01345094,0.00220377,9.09418484
14,9.35416746,0.0,0.0,0.0,9.35224701,0.0,0.0,0.0,9.35526153
15,6.84155088,-0.20033053,0.01162347,-3.46054521,5.81250504,-0.05949303,-0.00454447,0.04622856,24.40287279
16,25.49531938,0.06603171,0.08813499,-0.01091976,6.34888807,0.01248226,-1.29753337,-0.02440791,5.77719234
17,6.05000424,0.01129039,-0.02812511,-3.09468282,5.26764766,0.04545629,-0.06385059,-0.25174222,24.53540928
18,26.52196086,0.0198329,-0.02526457,-0.00383574,6.60121192,0.00063176,-1.26247682,-0.0021204,6.01484782
19,5.0898634,0.04431235,0.00668019,-2.58305539,4.38574453,-0.01445706,-0.01864621,0.03403024,13.72698261
20,12.92877138,0.01888282,0.01134744,-0.00425986,3.23021339,-0.0098103,-1.08641615,0.01353116,5.93534675
21,11.05135305,0.05101616,0.10215589,-0.01561963,9.29814557,0.08495046,-0.12553534,-0.02568191,10.01333436
22,4.91680606,0.01834266,-0.00084174,-2.47434507,4.24871026,-0.00152227,0.00014524,0.00740721,13.32973719
23,5.05327584,-0.0201514,0.01289145,-2.50956494,4.3868387,-0.01170895,-0.03524582,0.01875197,13.8073435
24,6.50616947,0.00179508,-0.02856618,-3.2383783,5.6718841,0.04152629,-0.08676949,-0.01139959,24.69472512
25,4.91442095,0.01483655,0.01038261,-2.4698731,4.24791327,-0.01416046,-0.02998996,0.02584251,13.39716385
26,4.9607566,0.00036691,-0.04885509,0.06020933,8.67674162,-0.0511652,0.0263643,0.0758332,9.12815362
27,6.03464018,0.00282489,-0.0452495,-2.95193587,5.23974293,-0.01500314,0.02874253,0.11242724,14.49443313
28,9.88961142,-0.09581902,-0.16230307,4.97239929,2.80996773,-0.09737817,-0.20727439,0.0873612,13.98016186
29,25.7273595,0.01507682,0.22502425,0.00895397,6.45297158,-0.01968412,-1.35930033,0.01532608,5.89876868
30,9.21009711,-0.02346001,0.03319613,0.08708995,9.21349716,-0.00278575,-0.04268731,-0.04773337,9.22113623
31,6.51028603,0.12355068,0.00407246,-3.21672163,5.721649,0.01984528,0.00203672,0.02734285,24.22703974
32,10.30117737,-0.23420494,-0.71619696,5.25534874,3.2329177,-0.4176272,-1.3063374,-0.03920815,15.10084116
33,5.10922157,0.01114497,-0.02372954,-0.04589088,8.8102075,0.1084867,-0.03407461,0.00871273,9.76924905
34,24.71151117,0.00599756,0.5626614,0.00301196,6.14941023,-0.00576572,-1.48699161,0.00076098,5.66945438
35,9.79168168,0.01691971,-0.08663242,0.01077156,9.78364761,0.02658221,-0.08791552,0.03763359,9.81502044
36,25.31549019,-0.02345665,0.10484591,0.0182163,6.26531327,-0.02024278,-1.32823757,0.01605283,5.76301412
37,5.15211498,-0.22051437,-0.20473835,-0.02836126,9.5283776,0.14168229,0.11219728,-0.24362144,9.68820576
38,10.78886924,-0.01819703,0.0280019,-0.02078404,9.46755255,-0.11691304,0.0121682,0.12903027,9.44913924
39,5.75533883,0.13753964,-0.24092198,-2.93299733,5.41013365,0.14938148,-0.23791687,0.04714656,15.60800741
40,6.78700978,-0.09465399,-0.02294411,-3.36692941,5.79783162,0.05177457,-0.04433103,-0.02391461,24.48120059
41,25.53461407,0.00470474,0.08967167,-0.00156915,6.36304851,-0.01628795,-1.36585693,-0.03165358,5.85876145
42,10.04388,-0.04796247,0.02362308,0.04693208,8.63008706,0.02606373,0.02685619,-0.06851284,9.3007511
43,10.20929292,0.10598203,0.10601706,-0.05284963,8.84072253,0.01580895,0.08561501,0.01627017,9.51279794
