id,relaxation_step_number,lattice_vector_1_x,lattice_vector_1_y,lattice_vector_1_z,lattice_vector_2_x,lattice_vector_2_y,lattice_vector_2_z,lattice_vector_3_x,lattice_vector_3_y,lattice_vector_3_z
1,0,9.94875826,-0.02398847,-0.01287733,0.02006574,8.56774383,-0.03897548,0.01427497,-0.00045446,9.17645875
2,0,6.238403,0.016947,-0.010515,-3.135384,5.396237,0.01679,0.040246,-0.048064,23.532612
2,1,6.21140428,0.01204793,-0.00471417,-3.12247129,5.37471645,0.01366202,0.04933878,-0.04873876,23.57850289
2,2,6.19402088,-0.00432383,-7.706e-05,-3.13480989,5.35526414,0.00803904,0.06236080000000001,-0.04410487,23.66291283
2,3,6.20096989,0.00271862,-0.00536686,-3.13194312,5.36088112,0.0103322,0.05418832,-0.04588543,23.61904491
2,4,6.19997215,0.00265423,-0.00589401,-3.13049376,5.3607237,0.01081184,0.05368041,-0.04654927,23.62716739
2,5,6.20201278,0.01489979,-0.00928381,-3.11615886,5.3651897,0.01432805,0.04806496,-0.04777477,23.62063134
2,6,6.20235876,0.01507744,-0.00990844,-3.11823657,5.36413,0.01411483,0.04817174,-0.04786593,23.60558067
2,7,6.20094678,0.01415807,-0.00980781,-3.11893757,5.36378954,0.01487018,0.04827573,-0.04749647,23.60459019
2,8,6.20081917,0.01522995,-0.01018204,-3.11741895,5.36388538,0.01480865,0.04799046,-0.04733233,23.60626236
2,9,6.20075972,0.01615537,-0.010805500000000001,-3.11645438,5.36426541,0.01554015,0.04788443,-0.04734513,23.60642874
2,10,6.20064826,0.01623304,-0.01127078,-3.11648611,5.36403842,0.015837200000000003,0.04809788,-0.04728281,23.606165
2,11,6.20026334,0.01628408,-0.01158963,-3.11642566,5.36390417,0.01636361,0.04818116,-0.04723064,23.60584355
2,12,6.200032900000001,0.01633763,-0.01177101,-3.1163206000000003,5.36389171,0.01647602,0.04816544,-0.04722063,23.60623631
2,13,6.19983945,0.01645471,-0.01194416,-3.11607842,5.36398049,0.01667681,0.048114,-0.04724905,23.60668498
2,14,6.19969194,0.01668309,-0.01225808,-3.11584078,5.36413961,0.01691578,0.04802365,-0.04728672,23.60652118
2,15,6.19955839,0.01678798,-0.01232136,-3.11569181,5.36420316,0.01717439,0.04791386,-0.04726771,23.60627642
2,16,6.19946477,0.01692255,-0.01241238,-3.11549794,5.36422547,0.01721821,0.04782695,-0.04725329,23.60604191
3,0,9.853437,-0.013104,-0.147271,4.93467,2.838582,-0.073161,-0.310902,-0.040361,13.951613
3,1,9.85067656,-0.01355209,-0.14697135,4.93336546,2.83802024,-0.07345685,-0.30934074,-0.04019053,13.95630311
3,2,9.84989288,-0.01374224,-0.14709337,4.93302235,2.83767745,-0.07356462,-0.30933279,-0.04009514,13.95756363
3,3,9.8495867,-0.01376915,-0.14733925,4.93283189,2.83734388,-0.07378085,-0.30992636,-0.040086199999999995,13.95834226
3,4,9.84954088,-0.01371866,-0.14741062,4.93275642,2.83719227,-0.0739155,-0.31028302,-0.04009829,13.95866892
3,5,9.84954862,-0.013654,-0.14736044,4.93271083,2.83713618,-0.07396907,-0.31040038,-0.04011221,13.95890531
3,6,9.84953539,-0.01360162,-0.14726422,4.93267856,2.83712893,-0.07394595,-0.31032007,-0.04010508,13.95913657
3,7,9.8494625,-0.01357235,-0.14716142,4.93262105,2.83712454,-0.07389049,-0.31016381,-0.04008216,13.95943028
4,0,5.007361,-0.004345,0.005035,-2.500071,4.338912,-0.00387,-0.016938,0.005255,13.564275
4,1,5.00775077,-0.00423564,0.00508083,-2.49998329,4.33928158,-0.0038851999999999997,-0.01690315,0.00523586,13.56455251
4,2,5.00746544,-0.00436757,0.00507007,-2.50002835,4.33898507,-0.0038799,-0.01690275,0.00523653,13.56443017
5,0,6.644517,0.005218,0.00017,-3.323227,5.753649,0.001877,-0.000581,-0.008436,24.276102
5,1,6.64427935,0.00495058,0.0002587,-3.32351471,5.75354076,0.0018545999999999999,-0.00059027,-0.00848855,24.2760612
5,2,6.64446727,0.0051986,0.00021930000000000002,-3.32329247,5.75366468,0.0018739000000000002,-0.00058434,-0.00847917,24.27607376
5,3,6.64439145,0.00511734,0.00017215,-3.32321635,5.75346845,0.00190301,-0.00060176,-0.00850441,24.27603419
