id,spacegroup,number_of_total_atoms,percent_atom_al,percent_atom_ga,percent_atom_in
1,33,80,0.625,0.375,0.0
2,194,80,0.625,0.375,0.0
3,227,40,0.8125,0.1875,0.0
4,167,30,0.75,0.0,0.25
5,194,80,0.0,0.625,0.375
6,227,40,0.5625,0.4375,0.0
7,206,80,0.03125,0.09375,0.875
8,12,20,0.5,0.0,0.5
9,206,80,0.53125,0.21875,0.25
10,194,80,0.40625,0.59375,0.0
11,167,60,0.5833333333333334,0.4166666666666667,0.0
12,194,80,0.59375,0.40625,0.0
13,33,40,0.8125,0.1875,0.0
14,206,80,0.125,0.875,0.0
15,194,80,0.375,0.125,0.5
16,12,80,0.4375,0.1875,0.375
17,194,80,0.90625,0.0625,0.03125
18,12,80,0.0,0.40625,0.59375
19,167,30,0.4166666666666667,0.3333333333333333,0.25
20,12,20,0.25,0.25,0.5
21,33,80,0.0,0.375,0.625
22,167,30,0.5833333333333334,0.4166666666666667,0.0
23,167,30,0.6666666666666666,0.0,0.3333333333333333
24,194,80,0.15625,0.5625,0.28125
25,167,30,0.75,0.16666666666666666,0.08333333333333333
26,33,40,0.875,0.0,0.125
27,227,40,0.4375,0.25,0.3125
28,227,40,0.875,0.125,0.0
29,12,80,0.09375,0.5,0.40625
30,206,80,0.8125,0.03125,0.15625
31,194,80,0.34375,0.3125,0.34375
32,227,40,0.0,0.25,0.75
33,33,40,0.5625,0.0,0.4375
34,12,80,0.59375,0.21875,0.1875
35,206,80,0.0,0.5625,0.4375
36,12,80,0.34375,0.40625,0.25
37,33,40,0.5,0.0,0.5
38,33,80,0.3125,0.0625,0.625
39,227,40,0.25,0.4375,0.3125
40,194,80,0.09375,0.46875,0.4375
41,12,80,0.28125,0.34375,0.375
42,33,80,0.8125,0.03125,0.15625
43,33,80,0.625,0.03125,0.34375
44,194,80,0.96875,0.03125,0.0
45,206,80,0.40625,0.34375,0.25
46,12,80,0.5,0.5,0.0
47,194,80,0.6875,0.21875,0.09375
48,33,80,0.625,0.15625,0.21875
49,227,40,0.0625,0.625,0.3125
50,194,80,0.84375,0.125,0.03125
51,167,30,0.4166666666666667,0.3333333333333333,0.25
52,194,80,0.5,0.5,0.0
53,206,80,0.0625,0.09375,0.84375
54,194,80,0.40625,0.125,0.46875
55,227,40,0.4375,0.5625,0.0
56,167,30,0.5,0.5,0.0
