id,relaxation_step_number,species,L1,L2,L3
1,-1,Ga,0.156,0.851,0.697
1,-1,Al,0.656,0.851,0.697
1,-1,Al,0.344,0.149,0.197
1,-1,Ga,0.844,0.149,0.197
1,-1,Ga,0.094,0.351,0.197
1,-1,Al,0.594,0.351,0.197
1,-1,Al,0.406,0.649,0.697
1,-1,Al,0.906,0.649,0.697
1,-1,Al,0.0895,0.658,0.0
1,-1,Ga,0.5895,0.658,0.0
1,-1,Ga,0.4105,0.342,0.5
1,-1,Al,0.9105,0.342,0.5
1,-1,Al,0.1605,0.158,0.5
1,-1,Ga,0.6605,0.158,0.5
1,-1,Al,0.3395,0.842,1.0
1,-1,Ga,0.8395,0.842,1.0
1,-1,Ga,0.084,0.03,0.999
1,-1,Al,0.584,0.03,0.999
1,-1,Ga,0.416,0.97,0.499
1,-1,Al,0.916,0.97,0.499
1,-1,Ga,0.166,0.53,0.499
1,-1,Al,0.666,0.53,0.499
1,-1,Al,0.334,0.47,0.999
1,-1,Al,0.834,0.47,0.999
1,-1,Ga,0.3425,0.157,0.787
1,-1,Al,0.8425,0.157,0.787
1,-1,Al,0.1575,0.843,0.287
1,-1,Al,0.6575,0.843,0.287
1,-1,Al,0.4075,0.657,0.287
1,-1,Ga,0.9075,0.657,0.287
1,-1,Al,0.0925,0.343,0.787
1,-1,Al,0.5925,0.343,0.787
1,-1,O,0.4145,0.669,0.893
1,-1,O,0.9145,0.669,0.893
1,-1,O,0.0855,0.331,0.393
1,-1,O,0.5855,0.331,0.393
1,-1,O,0.3355,0.169,0.393
1,-1,O,0.8355,0.169,0.393
1,-1,O,0.1645,0.831,0.893
1,-1,O,0.6645,0.831,0.893
1,-1,O,0.2625,0.009,0.629
1,-1,O,0.7625,0.009,0.629
1,-1,O,0.2375,0.991,0.129
1,-1,O,0.7375,0.991,0.129
1,-1,O,0.4875,0.509,0.129
1,-1,O,0.9875,0.509,0.129
1,-1,O,0.0125,0.491,0.629
1,-1,O,0.5125,0.491,0.629
1,-1,O,0.0075,0.827,0.121
1,-1,O,0.5075,0.827,0.121
1,-1,O,0.4925,0.173,0.621
1,-1,O,0.9925,0.173,0.621
1,-1,O,0.2425,0.327,0.621
1,-1,O,0.7425,0.327,0.621
1,-1,O,0.2575,0.673,0.121
1,-1,O,0.7575,0.673,0.121
1,-1,O,0.486,0.835,0.638
1,-1,O,0.986,0.835,0.638
1,-1,O,0.014,0.165,0.138
1,-1,O,0.514,0.165,0.138
1,-1,O,0.264,0.335,0.138
1,-1,O,0.764,0.335,0.138
1,-1,O,0.236,0.665,0.638
1,-1,O,0.736,0.665,0.638
1,-1,O,0.1805,0.17,0.866
1,-1,O,0.6805,0.17,0.866
1,-1,O,0.3195,0.83,0.366
1,-1,O,0.8195,0.83,0.366
1,-1,O,0.0695,0.67,0.366
1,-1,O,0.5695,0.67,0.366
1,-1,O,0.4305,0.33,0.866
1,-1,O,0.9305,0.33,0.866
1,-1,O,0.418,0.001,0.9
1,-1,O,0.918,0.001,0.9
1,-1,O,0.082,0.999,0.4
1,-1,O,0.582,0.999,0.4
1,-1,O,0.332,0.501,0.4
1,-1,O,0.832,0.501,0.4
1,-1,O,0.168,0.499,0.9
1,-1,O,0.668,0.499,0.9
2,-1,Al,0.0,0.0,0.25
2,-1,Al,-0.0,-0.0,0.75
2,-1,Ga,1.0,0.5,0.25
2,-1,Ga,1.0,0.5,0.75
2,-1,Al,0.5,0.0,0.25
2,-1,Al,0.5,-0.0,0.75
2,-1,Ga,0.5,0.5,0.25
2,-1,Al,0.5,0.5,0.75
2,-1,Al,0.0,0.0,0.0
2,-1,Al,-0.0,-0.0,0.5
2,-1,Al,1.0,0.5,-0.0
2,-1,Al,1.0,0.5,0.5
2,-1,Al,0.5,-0.0,-0.0
2,-1,Ga,0.5,-0.0,0.5
2,-1,Ga,0.5,0.5,-0.0
2,-1,Al,0.5,0.5,0.5
2,-1,Ga,0.16665,0.3333,0.125
2,-1,Ga,0.16665,0.3333,0.625
2,-1,Al,0.16665,0.8333,0.125
2,-1,Al,0.16665,0.8333,0.625
2,-1,Al,0.66665,0.3333,0.125
2,-1,Al,0.66665,0.3333,0.625
2,-1,Ga,0.66665,0.8333,0.125
2,-1,Al,0.66665,0.8333,0.625
2,-1,Ga,0.33335,0.1667,0.375
2,-1,Ga,0.33335,0.1667,0.875
2,-1,Ga,0.33335,0.6667,0.375
2,-1,Al,0.33335,0.6667,0.875
2,-1,Al,0.83335,0.1667,0.375
2,-1,Al,0.83335,0.1667,0.875
2,-1,Ga,0.83335,0.6667,0.375
2,-1,Al,0.83335,0.6667,0.875
2,-1,O,0.16665,0.3333,0.20695
2,-1,O,0.16665,0.3333,0.70695
2,-1,O,0.16665,0.8333,0.20695
2,-1,O,0.16665,0.8333,0.70695
2,-1,O,0.66665,0.3333,0.20695
2,-1,O,0.66665,0.3333,0.70695
2,-1,O,0.66665,0.8333,0.20695
2,-1,O,0.66665,0.8333,0.70695
2,-1,O,0.33335,0.1667,0.29305
2,-1,O,0.33335,0.1667,0.79305
2,-1,O,0.33335,0.6667,0.29305
2,-1,O,0.33335,0.6667,0.79305
2,-1,O,0.83335,0.1667,0.29305
2,-1,O,0.83335,0.1667,0.79305
2,-1,O,0.83335,0.6667,0.29305
2,-1,O,0.83335,0.6667,0.79305
2,-1,O,0.33335,0.1667,0.45695
2,-1,O,0.33335,0.1667,0.95695
2,-1,O,0.33335,0.6667,0.45695
2,-1,O,0.33335,0.6667,0.95695
2,-1,O,0.83335,0.1667,0.45695
2,-1,O,0.83335,0.1667,0.95695
2,-1,O,0.83335,0.6667,0.45695
2,-1,O,0.83335,0.6667,0.95695
2,-1,O,0.16665,0.3333,0.04305
2,-1,O,0.16665,0.3333,0.54305
2,-1,O,0.16665,0.8333,0.04305
2,-1,O,0.16665,0.8333,0.54305
2,-1,O,0.66665,0.3333,0.04305
2,-1,O,0.66665,0.3333,0.54305
2,-1,O,0.66665,0.8333,0.04305
2,-1,O,0.66665,0.8333,0.54305
2,-1,O,-0.0,-0.0,0.125
2,-1,O,-0.0,0.0,0.625
2,-1,O,1.0,0.5,0.125
2,-1,O,1.0,0.5,0.625
2,-1,O,0.5,-0.0,0.125
2,-1,O,0.5,0.0,0.625
2,-1,O,0.5,0.5,0.125
2,-1,O,0.5,0.5,0.625
2,-1,O,0.0,-0.0,0.375
2,-1,O,-0.0,-0.0,0.875
2,-1,O,1.0,0.5,0.375
2,-1,O,1.0,0.5,0.875
2,-1,O,0.5,-0.0,0.375
2,-1,O,0.5,-0.0,0.875
2,-1,O,0.5,0.5,0.375
2,-1,O,0.5,0.5,0.875
3,-1,Ga,0.833333,-0.0,0.958333
3,-1,Al,0.5,-0.0,-0.0
3,-1,Al,0.666667,0.5,0.166667
3,-1,Ga,0.166667,0.5,0.166667
3,-1,Ga,0.5,0.0,0.375
3,-1,Al,0.166667,-0.0,0.291667
3,-1,Al,-0.0,0.0,0.5
3,-1,Al,0.833333,-0.0,0.333333
3,-1,Al,0.0,0.5,0.5
3,-1,Al,0.5,0.5,0.5
3,-1,Al,0.833333,0.0,0.708333
3,-1,Al,0.5,-0.0,0.625
3,-1,Al,0.333333,-0.0,0.833333
3,-1,Al,0.166667,-0.0,0.666667
3,-1,Al,0.333333,0.5,0.833333
3,-1,Al,0.833333,0.5,0.833333
3,-1,O,0.34,-0.0,0.085
3,-1,O,0.166667,-0.0,0.911667
3,-1,O,0.34,0.48,0.085
3,-1,O,0.82,0.52,0.085
3,-1,O,0.833333,0.0,0.088333
3,-1,O,0.66,0.0,0.915
3,-1,O,0.66,0.52,0.915
3,-1,O,0.18,0.48,0.915
3,-1,O,0.673333,-0.0,0.418333
3,-1,O,0.5,-0.0,0.245
3,-1,O,0.673333,0.48,0.418333
3,-1,O,0.153333,0.52,0.418333
3,-1,O,0.166667,0.0,0.421667
3,-1,O,0.993333,0.0,0.248333
3,-1,O,0.993333,0.52,0.248333
3,-1,O,0.513333,0.48,0.248333
3,-1,O,0.006667,-0.0,0.751667
3,-1,O,0.833333,-0.0,0.578333
3,-1,O,0.006667,0.48,0.751667
3,-1,O,0.486667,0.52,0.751667
3,-1,O,0.5,0.0,0.755
3,-1,O,0.326667,0.0,0.581667
3,-1,O,0.326667,0.52,0.581667
3,-1,O,0.846667,0.48,0.581667
4,-1,Al,-0.0,-0.0,0.145
4,-1,In,-0.0,-0.0,0.645
4,-1,Al,0.0,0.0,0.855
4,-1,Al,-0.0,0.0,0.355
4,-1,In,0.666667,0.333333,0.478333
4,-1,Al,0.666667,0.333333,0.978333
4,-1,In,0.666667,0.333333,0.188333
4,-1,Al,0.666667,0.333333,0.688333
4,-1,Al,0.333333,0.666667,0.811667
4,-1,Al,0.333333,0.666667,0.311667
4,-1,Al,0.333333,0.666667,0.521667
4,-1,Al,0.333333,0.666667,0.021667
4,-1,O,0.303,-0.0,0.25
4,-1,O,0.697,0.697,0.25
4,-1,O,0.0,0.303,0.25
4,-1,O,0.303,0.303,0.75
4,-1,O,-0.0,0.697,0.75
4,-1,O,0.697,-0.0,0.75
4,-1,O,0.969667,0.333333,0.583333
4,-1,O,0.363667,0.030333,0.583333
4,-1,O,0.666667,0.636333,0.583333
4,-1,O,0.969667,0.636333,0.083333
4,-1,O,0.666667,0.030333,0.083333
4,-1,O,0.363667,0.333333,0.083333
4,-1,O,0.636333,0.666667,0.916667
4,-1,O,0.030333,0.363667,0.916667
4,-1,O,0.333333,0.969667,0.916667
4,-1,O,0.636333,0.969667,0.416667
4,-1,O,0.333333,0.363667,0.416667
4,-1,O,0.030333,0.666667,0.416667
5,-1,Ga,-0.0,0.0,0.25
5,-1,In,-0.0,-0.0,0.75
5,-1,In,1.0,0.5,0.25
5,-1,In,1.0,0.5,0.75
5,-1,In,0.5,0.0,0.25
5,-1,In,0.5,-0.0,0.75
5,-1,In,0.5,0.5,0.25
5,-1,Ga,0.5,0.5,0.75
5,-1,Ga,0.0,0.0,0.0
5,-1,In,-0.0,-0.0,0.5
5,-1,In,1.0,0.5,0.0
5,-1,In,1.0,0.5,0.5
5,-1,In,0.5,0.0,0.0
5,-1,In,0.5,-0.0,0.5
5,-1,In,0.5,0.5,0.0
5,-1,Ga,0.5,0.5,0.5
5,-1,Ga,0.16665,0.3333,0.125
5,-1,Ga,0.16665,0.3333,0.625
5,-1,Ga,0.16665,0.8333,0.125
5,-1,Ga,0.16665,0.8333,0.625
5,-1,Ga,0.66665,0.3333,0.125
5,-1,Ga,0.66665,0.3333,0.625
5,-1,Ga,0.66665,0.8333,0.125
5,-1,Ga,0.66665,0.8333,0.625
5,-1,Ga,0.33335,0.1667,0.375
5,-1,Ga,0.33335,0.1667,0.875
5,-1,Ga,0.33335,0.6667,0.375
5,-1,Ga,0.33335,0.6667,0.875
5,-1,Ga,0.83335,0.1667,0.375
5,-1,Ga,0.83335,0.1667,0.875
5,-1,Ga,0.83335,0.6667,0.375
5,-1,Ga,0.83335,0.6667,0.875
5,-1,O,0.16665,0.3333,0.20695
5,-1,O,0.16665,0.3333,0.70695
5,-1,O,0.16665,0.8333,0.20695
5,-1,O,0.16665,0.8333,0.70695
5,-1,O,0.66665,0.3333,0.20695
5,-1,O,0.66665,0.3333,0.70695
5,-1,O,0.66665,0.8333,0.20695
5,-1,O,0.66665,0.8333,0.70695
5,-1,O,0.33335,0.1667,0.29305
5,-1,O,0.33335,0.1667,0.79305
5,-1,O,0.33335,0.6667,0.29305
5,-1,O,0.33335,0.6667,0.79305
5,-1,O,0.83335,0.1667,0.29305
5,-1,O,0.83335,0.1667,0.79305
5,-1,O,0.83335,0.6667,0.29305
5,-1,O,0.83335,0.6667,0.79305
5,-1,O,0.33335,0.1667,0.45695
5,-1,O,0.33335,0.1667,0.95695
5,-1,O,0.33335,0.6667,0.45695
5,-1,O,0.33335,0.6667,0.95695
5,-1,O,0.83335,0.1667,0.45695
5,-1,O,0.83335,0.1667,0.95695
5,-1,O,0.83335,0.6667,0.45695
5,-1,O,0.83335,0.6667,0.95695
5,-1,O,0.16665,0.3333,0.04305
5,-1,O,0.16665,0.3333,0.54305
5,-1,O,0.16665,0.8333,0.04305
5,-1,O,0.16665,0.8333,0.54305
5,-1,O,0.66665,0.3333,0.04305
5,-1,O,0.66665,0.3333,0.54305
5,-1,O,0.66665,0.8333,0.04305
5,-1,O,0.66665,0.8333,0.54305
5,-1,O,0.0,-0.0,0.125
5,-1,O,-0.0,0.0,0.625
5,-1,O,1.0,0.5,0.125
5,-1,O,1.0,0.5,0.625
5,-1,O,0.5,0.0,0.125
5,-1,O,0.5,0.0,0.625
