id,relaxation_step_number,lattice_vector_1_x,lattice_vector_1_y,lattice_vector_1_z,lattice_vector_2_x,lattice_vector_2_y,lattice_vector_2_z,lattice_vector_3_x,lattice_vector_3_y,lattice_vector_3_z
1,-1,9.952088,-0.047248,-0.034658,0.040316,8.551175,-0.009534,0.031640,0.009666,9.177439
2,-1,6.180036,0.208082,0.072897,-3.270682,5.248036,-0.009721,-0.273297,-0.135613,23.626717
3,-1,9.750590,-0.038696,-0.080253,4.886730,2.854636,-0.035869,-0.158784,-0.020827,13.962057
4,-1,5.003557,0.024477,0.003776,-2.522969,4.320664,-0.006625,-0.013103,0.016168,13.531761
5,-1,6.660398,-0.117312,0.011146,-3.227451,5.827057,0.022999,-0.043491,-0.119125,24.580928
6,-1,9.845085,-0.030880,-0.094160,4.931688,2.892707,-0.039806,-0.186304,-0.035413,14.123170
7,-1,10.166414,-0.003029,0.005629,0.003251,10.166383,0.005564,-0.005781,-0.005719,10.166605
8,-1,12.134991,-0.000001,-0.006363,-0.000007,3.153345,0.000018,-1.643228,-0.000006,6.069469
9,-1,9.402682,0.019642,-0.022448,-0.019239,9.402279,0.015713,0.021984,-0.016080,9.402412
10,-1,6.251233,0.079068,0.058052,-3.194224,5.374370,-0.009394,-0.219483,-0.097180,23.791912
11,-1,9.830604,0.032643,0.000525,-2.471702,4.248291,-0.003507,-0.003151,0.011629,13.334610
12,-1,6.190207,0.189652,0.070776,-3.259760,5.266083,-0.009674,-0.265610,-0.130123,23.650316
13,-1,4.932241,-0.020044,-0.014201,0.034208,8.476451,-0.006647,0.025870,0.006342,9.105903
14,-1,9.351215,0.025259,-0.031851,-0.024093,9.351167,0.020473,0.031067,-0.021354,9.350661
15,-1,6.630659,0.118262,0.030148,-3.416930,5.683173,0.033034,-0.110394,-0.216119,24.458479
16,-1,24.367931,0.000006,-0.017713,-0.000016,6.254506,0.000031,-1.576657,-0.000005,5.967340
17,-1,6.111575,0.377559,0.090371,-3.383588,5.103778,-0.007493,-0.336150,-0.192805,23.454508
18,-1,24.764809,0.000017,-0.095633,-0.000008,6.501361,-0.000025,-1.680863,-0.000009,6.264439
19,-1,5.086055,0.032551,0.004145,-2.571095,4.387998,-0.008958,-0.012863,0.022043,13.698036
20,-1,12.264886,0.000005,-0.026168,-0.000006,3.188895,0.000003,-1.637608,-0.000007,6.123583
21,-1,10.937457,-0.030570,-0.065354,0.025825,9.324760,-0.039636,0.059887,0.042322,9.946031
22,-1,4.915302,0.016322,0.000262,-2.471702,4.248291,-0.003507,-0.003151,0.011629,13.334610
23,-1,5.067350,0.030559,0.005101,-2.560110,4.372845,-0.008636,-0.016321,0.020129,13.666759
24,-1,6.540307,-0.035963,0.026584,-3.238259,5.682301,0.014819,-0.100943,-0.123247,24.342375
25,-1,4.917221,0.016348,0.001311,-2.472749,4.249971,-0.003768,-0.006549,0.011184,13.344902
26,-1,4.986974,-0.014795,-0.014143,0.025202,8.556445,-0.009780,0.025749,0.009549,9.188085
27,-1,6.043407,-0.014919,-0.040413,-3.008463,5.240458,0.037277,0.094393,-0.051783,14.257247
28,-1,9.789503,0.039261,-0.081724,4.883130,2.874301,-0.042273,-0.044554,0.006645,13.946034
29,-1,24.716891,0.000019,-0.073406,-0.000013,6.369761,-0.000011,-1.585221,-0.000007,6.070660
30,-1,9.201702,0.024217,-0.027281,-0.024021,9.201070,0.016997,0.026837,-0.017249,9.201395
31,-1,6.525438,0.081824,0.036085,-3.332998,5.610360,0.019837,-0.134394,-0.171744,24.281151
32,-1,10.409962,-0.173195,-0.616017,5.261085,3.226238,-0.295658,-1.214514,-0.036502,15.082902
33,-1,5.233316,-0.010626,-0.021817,0.017957,8.943237,-0.024831,0.039872,0.025877,9.572381
34,-1,24.255066,0.000006,0.014417,-0.000020,6.105130,0.000054,-1.482419,-0.000002,5.760033
35,-1,9.791550,0.010670,-0.012875,-0.009887,9.791575,0.013109,0.012382,-0.013682,9.791356
36,-1,24.498354,0.000014,-0.027651,-0.000018,6.211211,0.000022,-1.509383,-0.000004,5.871975
37,-1,5.282585,-0.009792,-0.023352,0.016508,9.020596,-0.027841,0.042697,0.029143,9.649240
38,-1,10.791446,-0.018635,-0.054927,0.015646,9.200221,-0.034824,0.050270,0.036782,9.826804
39,-1,6.086248,-0.056023,0.220496,-2.998542,5.298586,-0.020708,-0.059967,0.011812,14.923954
40,-1,6.676041,-0.054817,0.014285,-3.289422,5.809258,0.028157,-0.053880,-0.151151,24.590502
41,-1,24.530300,0.000013,-0.042469,-0.000015,6.298945,0.000012,-1.573144,-0.000006,6.001161
42,-1,10.037818,-0.029950,-0.030863,0.025496,8.607578,-0.011766,0.028123,0.011736,9.238437
43,-1,10.333429,-0.024947,-0.040072,0.021149,8.839653,-0.020797,0.036597,0.021533,9.469015
44,-1,6.068155,0.410819,0.096224,-3.390832,5.049511,-0.010235,-0.357863,-0.196009,23.367124
45,-1,9.455059,0.018930,-0.022071,-0.018385,9.454759,0.015857,0.021567,-0.016313,9.454768
46,-1,24.401990,0.000017,0.006937,-0.000024,6.026856,0.000046,-1.382563,-0.000001,5.606839
47,-1,6.228929,0.255748,0.072303,-3.336333,5.266457,-0.001868,-0.269660,-0.169925,23.700074
48,-1,10.194759,-0.033056,-0.038103,0.028119,8.734752,-0.016701,0.034795,0.017217,9.362987
49,-1,10.464780,0.007300,0.109416,5.229974,3.061679,0.064342,0.416208,-0.041467,14.712305
50,-1,6.131917,0.340698,0.086130,-3.361743,5.139874,-0.007399,-0.320774,-0.181824,23.501707
51,-1,5.086055,0.032551,0.004145,-2.571095,4.387998,-0.008958,-0.012863,0.022043,13.698036
52,-1,6.220720,0.134360,0.064414,-3.226992,5.320226,-0.009534,-0.242546,-0.113651,23.721114
53,-1,10.125609,-0.001860,0.004206,0.002084,10.125554,0.006064,-0.004372,-0.006225,10.125777
54,-1,6.597409,0.133091,0.033880,-3.413251,5.646953,0.030339,-0.124420,-0.213832,24.394694
55,-1,10.041567,-0.098981,-0.290511,5.011610,2.841597,-0.263331,-0.479297,-0.003043,14.250439
56,-1,4.935926,0.018340,0.000355,-2.483734,4.265124,-0.004090,-0.003091,0.013098,13.376178
57,-1,5.331853,-0.008958,-0.024886,0.015059,9.097954,-0.030851,0.045521,0.032408,9.726099
58,-1,10.255040,-0.062290,-0.052324,0.053118,8.802888,-0.019280,0.047929,0.020688,9.421217
59,-1,4.935926,0.018340,0.000355,-2.483734,4.265124,-0.004090,-0.003091,0.013098,13.376178
60,-1,9.128615,0.028283,-0.033453,-0.027722,9.128125,0.019859,0.032839,-0.020364,9.128148
