id,relaxation_step_number,lattice_vector_1_x,lattice_vector_1_y,lattice_vector_1_z,lattice_vector_2_x,lattice_vector_2_y,lattice_vector_2_z,lattice_vector_3_x,lattice_vector_3_y,lattice_vector_3_z
1,-1,9.952088,-0.047248,-0.034658,0.040316,8.551175,-0.009534,0.03164,0.009666,9.177439
2,-1,6.180036,0.208082,0.072897,-3.270682,5.248036,-0.009721,-0.273297,-0.135613,23.626717
3,-1,9.75059,-0.038696,-0.080253,4.88673,2.854636,-0.035869,-0.158784,-0.020827,13.962057
4,-1,5.003557,0.024477,0.003776,-2.522969,4.320664,-0.006625,-0.013103,0.016168,13.531761
5,-1,6.660398,-0.117312,0.011146,-3.227451,5.827057,0.022999,-0.043491,-0.119125,24.580928
6,-1,9.845085,-0.03088,-0.09416,4.931688,2.892707,-0.039806,-0.186304,-0.035413,14.12317
7,-1,10.166414,-0.003029,0.005629,0.003251,10.166383,0.005564,-0.005781,-0.005719,10.166605
8,-1,12.134991,-1e-06,-0.006363,-7e-06,3.153345,1.8e-05,-1.643228,-6e-06,6.069469
9,-1,9.402682,0.019642,-0.022448,-0.019239,9.402279,0.015713,0.021984,-0.01608,9.402412
10,-1,6.251233,0.079068,0.058052,-3.194224,5.37437,-0.009394,-0.219483,-0.09718,23.791912
11,-1,9.830604,0.032643,0.000525,-2.471702,4.248291,-0.003507,-0.003151,0.011629,13.33461
12,-1,6.190207,0.189652,0.070776,-3.25976,5.266083,-0.009674,-0.26561,-0.130123,23.650316
13,-1,4.932241,-0.020044,-0.014201,0.034208,8.476451,-0.006647,0.02587,0.006342,9.105903
14,-1,9.351215,0.025259,-0.031851,-0.024093,9.351167,0.020473,0.031067,-0.021354,9.350661
15,-1,6.630659,0.118262,0.030148,-3.41693,5.683173,0.033034,-0.110394,-0.216119,24.458479
16,-1,24.367931,6e-06,-0.017713,-1.6e-05,6.254506,3.1e-05,-1.576657,-5e-06,5.96734
17,-1,6.111575,0.377559,0.090371,-3.383588,5.103778,-0.007493,-0.33615,-0.192805,23.454508
18,-1,24.764809,1.7e-05,-0.095633,-8e-06,6.501361,-2.5e-05,-1.680863,-9e-06,6.264439
19,-1,5.086055,0.032551,0.004145,-2.571095,4.387998,-0.008958,-0.012863,0.022043,13.698036
20,-1,12.264886,5e-06,-0.026168,-6e-06,3.188895,3e-06,-1.637608,-7e-06,6.123583
21,-1,10.937457,-0.03057,-0.065354,0.025825,9.32476,-0.039636,0.059887,0.042322,9.946031
22,-1,4.915302,0.016322,0.000262,-2.471702,4.248291,-0.003507,-0.003151,0.011629,13.33461
23,-1,5.06735,0.030559,0.005101,-2.56011,4.372845,-0.008636,-0.016321,0.020129,13.666759
24,-1,6.540307,-0.035963,0.026584,-3.238259,5.682301,0.014819,-0.100943,-0.123247,24.342375
25,-1,4.917221,0.016348,0.001311,-2.472749,4.249971,-0.003768,-0.006549,0.011184,13.344902
26,-1,4.986974,-0.014795,-0.014143,0.025202,8.556445,-0.00978,0.025749,0.009549,9.188085
27,-1,6.043407,-0.014919,-0.040413,-3.008463,5.240458,0.037277,0.094393,-0.051783,14.257247
28,-1,9.789503,0.039261,-0.081724,4.88313,2.874301,-0.042273,-0.044554,0.006645,13.946034
29,-1,24.716891,1.9e-05,-0.073406,-1.3e-05,6.369761,-1.1e-05,-1.585221,-7e-06,6.07066
30,-1,9.201702,0.024217,-0.027281,-0.024021,9.20107,0.016997,0.026837,-0.017249,9.201395
31,-1,6.525438,0.081824,0.036085,-3.332998,5.61036,0.019837,-0.134394,-0.171744,24.281151
32,-1,10.409962,-0.173195,-0.616017,5.261085,3.226238,-0.295658,-1.214514,-0.036502,15.082902
33,-1,5.233316,-0.010626,-0.021817,0.017957,8.943237,-0.024831,0.039872,0.025877,9.572381
34,-1,24.255066,6e-06,0.014417,-2e-05,6.10513,5.4e-05,-1.482419,-2e-06,5.760033
35,-1,9.79155,0.01067,-0.012875,-0.009887,9.791575,0.013109,0.012382,-0.013682,9.791356
36,-1,24.498354,1.4e-05,-0.027651,-1.8e-05,6.211211,2.2e-05,-1.509383,-4e-06,5.871975
37,-1,5.282585,-0.009792,-0.023352,0.016508,9.020596,-0.027841,0.042697,0.029143,9.64924
38,-1,10.791446,-0.018635,-0.054927,0.015646,9.200221,-0.034824,0.05027,0.036782,9.826804
39,-1,6.086248,-0.056023,0.220496,-2.998542,5.298586,-0.020708,-0.059967,0.011812,14.923954
40,-1,6.676041,-0.054817,0.014285,-3.289422,5.809258,0.028157,-0.05388,-0.151151,24.590502
41,-1,24.5303,1.3e-05,-0.042469,-1.5e-05,6.298945,1.2e-05,-1.573144,-6e-06,6.001161
42,-1,10.037818,-0.02995,-0.030863,0.025496,8.607578,-0.011766,0.028123,0.011736,9.238437
43,-1,10.333429,-0.024947,-0.040072,0.021149,8.839653,-0.020797,0.036597,0.021533,9.469015
44,-1,6.068155,0.410819,0.096224,-3.390832,5.049511,-0.010235,-0.357863,-0.196009,23.367124
45,-1,9.455059,0.01893,-0.022071,-0.018385,9.454759,0.015857,0.021567,-0.016313,9.454768
46,-1,24.40199,1.7e-05,0.006937,-2.4e-05,6.026856,4.6e-05,-1.382563,-1e-06,5.606839
47,-1,6.228929,0.255748,0.072303,-3.336333,5.266457,-0.001868,-0.26966,-0.169925,23.700074
48,-1,10.194759,-0.033056,-0.038103,0.028119,8.734752,-0.016701,0.034795,0.017217,9.362987
49,-1,10.46478,0.0073,0.109416,5.229974,3.061679,0.064342,0.416208,-0.041467,14.712305
50,-1,6.131917,0.340698,0.08613,-3.361743,5.139874,-0.007399,-0.320774,-0.181824,23.501707
51,-1,5.086055,0.032551,0.004145,-2.571095,4.387998,-0.008958,-0.012863,0.022043,13.698036
52,-1,6.22072,0.13436,0.064414,-3.226992,5.320226,-0.009534,-0.242546,-0.113651,23.721114
53,-1,10.125609,-0.00186,0.004206,0.002084,10.125554,0.006064,-0.004372,-0.006225,10.125777
54,-1,6.597409,0.133091,0.03388,-3.413251,5.646953,0.030339,-0.12442,-0.213832,24.394694
55,-1,10.041567,-0.098981,-0.290511,5.01161,2.841597,-0.263331,-0.479297,-0.003043,14.250439
56,-1,4.935926,0.01834,0.000355,-2.483734,4.265124,-0.00409,-0.003091,0.013098,13.376178
57,-1,5.331853,-0.008958,-0.024886,0.015059,9.097954,-0.030851,0.045521,0.032408,9.726099
58,-1,10.25504,-0.06229,-0.052324,0.053118,8.802888,-0.01928,0.047929,0.020688,9.421217
59,-1,4.935926,0.01834,0.000355,-2.483734,4.265124,-0.00409,-0.003091,0.013098,13.376178
60,-1,9.128615,0.028283,-0.033453,-0.027722,9.128125,0.019859,0.032839,-0.020364,9.128148
61,-1,9.558288,0.018142,-0.022457,-0.017204,9.558251,0.016755,0.021829,-0.01746,9.557919
62,-1,10.145491,-0.03389,-0.036568,0.028843,8.696073,-0.015196,0.033382,0.015585,9.324558
63,-1,6.276248,0.003602,0.043949,-3.140172,5.432322,-0.053717,-0.104554,0.084926,14.95963
64,-1,9.700795,-0.180759,-0.745325,4.907811,2.887218,-0.347396,-1.31153,-0.095341,14.36805
65,-1,10.156503,-0.063958,-0.049255,0.054567,8.72553,-0.01627,0.045104,0.017422,9.344357
66,-1,24.628249,2e-05,-0.047456,-1.7e-05,6.246762,7e-06,-1.506573,-5e-06,5.899032
67,-1,10.525037,-0.026026,-0.047804,0.022029,8.993053,-0.026756,0.043719,0.028093,9.620072
68,-1,10.548774,-0.032827,-0.051482,0.027843,9.016643,-0.027656,0.047115,0.029231,9.641256
69,-1,6.241062,0.097498,0.060173,-3.205146,5.356322,-0.009441,-0.227171,-0.10267,23.768312
70,-1,9.67622,-0.189186,-0.773702,4.898193,2.873288,-0.360538,-1.355118,-0.098692,14.342179
71,-1,10.074584,0.03674,-0.095409,5.026625,2.962086,-0.038122,-0.095503,-0.046208,14.368801
72,-1,10.05609,-0.041166,-0.036134,0.035089,8.629851,-0.012606,0.032992,0.012902,9.25696
73,-1,10.91372,-0.023769,-0.061675,0.020011,9.30117,-0.038735,0.05649,0.041185,9.924847
74,-1,4.894678,0.014303,0.00017,-2.459671,4.231457,-0.002923,-0.003211,0.010161,13.293041
75,-1,9.484293,0.017304,-0.019602,-0.016904,9.483937,0.014712,0.019166,-0.015067,9.484067
76,-1,10.422912,-0.056567,-0.056378,0.048184,8.932697,-0.024338,0.051655,0.026111,9.551089
77,-1,6.121746,0.359129,0.08825,-3.372666,5.121826,-0.007446,-0.328462,-0.187314,23.478108
78,-1,24.764809,1.7e-05,-0.095633,-8e-06,6.501361,-2.5e-05,-1.680863,-9e-06,6.264439
79,-1,6.304825,0.027377,0.050079,-3.176057,5.446685,-0.006605,-0.190082,-0.088485,23.902895
80,-1,24.514327,1.3e-05,-0.03506,-1.6e-05,6.255078,1.7e-05,-1.541264,-5e-06,5.936568
81,-1,10.391833,-0.029721,-0.044242,0.02522,8.889469,-0.022722,0.040444,0.023749,9.516706
82,-1,12.265942,1.1e-05,-0.006434,-1.2e-05,3.031204,1.5e-05,-1.379753,-2e-06,5.633895
83,-1,6.635357,0.018906,0.022768,-3.333113,5.737067,0.02797,-0.084631,-0.173113,24.496104
84,-1,9.763838,0.011661,-0.014204,-0.010841,9.763866,0.013645,0.013687,-0.014246,9.763617
85,-1,9.726955,-0.040658,-0.07677,4.875483,2.84511,-0.03488,-0.151904,-0.017178,13.9218
86,-1,9.167898,0.02775,-0.03317,-0.027082,9.167485,0.019967,0.032527,-0.020538,9.167415
87,-1,24.481853,1.2e-05,-0.030109,-1.6e-05,6.24619,2.1e-05,-1.541966,-5e-06,5.929804
88,-1,4.956551,0.020359,0.000447,-2.495765,4.281958,-0.004673,-0.003031,0.014567,13.417747
89,-1,10.007257,-0.106981,-0.276794,5.000994,2.830931,-0.245457,-0.432062,0.007781,14.191659
90,-1,6.453466,0.030556,0.038289,-3.252746,5.573766,0.009335,-0.144369,-0.129656,24.167607
91,-1,10.276901,-0.044632,-0.045952,0.038005,8.808158,-0.019527,0.042038,0.020571,9.431862
92,-1,5.534521,0.075156,0.014466,-2.832131,4.75494,-0.023301,-0.038782,0.049322,14.653315
93,-1,6.04675,-0.008058,-0.01093,-3.016485,5.240716,0.013662,0.027675,-0.022555,14.864034
94,-1,6.149523,0.263374,0.079259,-3.303451,5.193892,-0.009861,-0.296361,-0.152085,23.555919
95,-1,9.373448,0.021269,-0.024916,-0.020719,9.373101,0.016858,0.024385,-0.017325,9.373113
96,-1,4.95847,0.020386,0.001495,-2.496812,4.283638,-0.004935,-0.006429,0.014121,13.428039
97,-1,10.290354,-0.007172,0.011037,0.007279,10.29034,0.003455,-0.011104,-0.003518,10.290648
98,-1,12.265942,1.1e-05,-0.006434,-1.2e-05,3.031204,1.5e-05,-1.379753,-2e-06,5.633895
99,-1,5.642065,-0.005148,-0.035138,0.0084,9.587013,-0.049875,0.064393,0.05311,10.2111
100,-1,9.20718,0.027216,-0.032887,-0.026442,9.206846,0.020076,0.032214,-0.020713,9.206682
101,-1,10.221837,-0.005012,0.008286,0.005158,10.221801,0.004491,-0.00839,-0.004589,10.222082
102,-1,9.486725,0.021574,-0.027489,-0.020378,9.486775,0.019008,0.026735,-0.019893,9.486233
103,-1,9.14171,0.028105,-0.033358,-0.027509,9.141245,0.019895,0.032735,-0.020422,9.141237
104,-1,10.027739,0.050972,0.007644,-2.528985,4.329081,-0.006916,-0.013073,0.016902,13.552545
105,-1,24.207147,9e-06,0.036644,-2.5e-05,5.97353,6.8e-05,-1.386777,-0.0,5.566254
106,-1,5.005246,-0.026011,-0.019414,0.044388,8.600991,-0.011458,0.035487,0.011882,9.22513
107,-1,4.961443,-0.022431,-0.016286,0.03828,8.526267,-0.008571,0.029717,0.008558,9.153594
108,-1,10.579771,-0.020777,-0.047746,0.017526,9.03305,-0.028322,0.043659,0.029697,9.661163
109,-1,5.198649,-0.012653,-0.021325,0.021442,8.890787,-0.022783,0.038971,0.023719,9.519367
110,-1,9.637467,0.011534,-0.011726,-0.011396,9.637072,0.011458,0.011441,-0.011621,9.637408
111,-1,24.384432,8e-06,-0.015255,-1.7e-05,6.219527,3.3e-05,-1.544073,-4e-06,5.909511
112,-1,10.086327,-0.001326,0.003924,0.001443,10.086193,0.005956,-0.004059,-0.00605,10.08651
113,-1,5.107454,-0.034366,-0.026713,0.058639,8.775345,-0.018195,0.048951,0.019639,9.392048
114,-1,10.258629,-0.033416,-0.040681,0.028412,8.785885,-0.018687,0.037169,0.019404,9.41334
115,-1,9.750026,0.024596,0.001204,-2.448163,4.215464,-0.002471,-0.00497,0.008469,13.256619
116,-1,10.452114,-0.058954,-0.058463,0.05022,8.957605,-0.025301,0.053578,0.027219,9.574935
117,-1,6.525438,0.081824,0.036085,-3.332998,5.61036,0.019837,-0.134394,-0.171744,24.281151
118,-1,10.227269,-0.120035,-0.401954,5.114733,2.901149,-0.330313,-0.60875,-0.020838,14.538151
119,-1,24.416906,1e-05,-0.020206,-1.7e-05,6.228415,2.9e-05,-1.543371,-4e-06,5.916275
120,-1,5.27712,-0.014206,-0.024945,0.024065,9.017961,-0.027718,0.045642,0.029201,9.643917
121,-1,5.990598,-0.042081,-0.005957,-2.958262,5.209096,0.008789,0.012519,-0.015352,14.654337
122,-1,9.515051,0.015042,-0.015994,-0.014897,9.514584,0.012959,0.015668,-0.01314,9.514926
123,-1,9.962027,0.044862,0.005271,-2.50989,4.302151,-0.00578,-0.009766,0.015145,13.4799
124,-1,5.363768,0.058927,0.010584,-2.732739,4.615233,-0.017849,-0.02907,0.038909,14.289889
125,-1,9.468153,0.018752,-0.021977,-0.018171,9.467879,0.015893,0.021462,-0.016371,9.467857
127,-1,10.096374,-0.000234,0.001738,0.000603,10.096376,0.007209,-0.001971,-0.007471,10.096478
128,-1,9.719078,0.009196,-0.00888,-0.009061,9.71873,0.010458,0.008623,-0.010608,9.719063
129,-1,6.456977,0.251301,0.053559,-3.445904,5.466102,0.022065,-0.197247,-0.228935,24.108943
130,-1,10.229427,-0.031029,-0.038595,0.026376,8.760977,-0.017725,0.035245,0.018296,9.389494
131,-1,5.151766,0.03866,0.006518,-2.609283,4.441858,-0.011231,-0.019478,0.025558,13.843326
